day,gridPoints,gridBoundary,decay,totalPercentage,accuracy,profit,profit.sd,profit.min,profit.max,accuracy.sd,accuracy.min,accuracy.max,sensitivity.D,sensitivity.D.min,sensitivity.D.max,sensitivity.L,sensitivity.L.min,sensitivity.L.max,sensitivity.W,sensitivity.W.min,sensitivity.W.max,sensitivity.sd
3,2,0.1,1,0,0.492013262836187,33.0428571428572,36.3219661335881,-17.49,81.15,0.0244962369200695,0.460916442048518,0.520861372812921,0.254013926934323,0.227642276422764,0.305555555555556,0.478073671083483,0.427835051546392,0.527196652719665,0.586983247387641,0.54726368159204,0.607558139534884,0.169770744005989
3,2,0.1,1,1,0.487473981254984,28.10875,24.4805488019133,-19.48,57.77,0.0116627148972673,0.464333781965007,0.497981157469717,0.23555429400381,0.184210526315789,0.282051282051282,0.477749524041367,0.435146443514644,0.514619883040936,0.581291106721282,0.550239234449761,0.624605678233438,0.17744169580684
3,2,0.1,5000,0,0.498150083993899,49.6075,23.2090701173978,16.34,85.02,0.0157885025040071,0.472409152086137,0.518817204301075,0.254493772075052,0.176991150442478,0.297297297297297,0.474285169873303,0.420408163265306,0.520833333333333,0.595764657217786,0.562659846547315,0.623824451410658,0.172979450339095
3,2,0.1,5000,1,0.503778802012085,65.21,24.6046627404529,33.65,100.54,0.00988869153511748,0.484522207267833,0.515436241610738,0.271247959672519,0.246913580246914,0.298611111111111,0.500731251205571,0.452054794520548,0.548022598870056,0.606078135626542,0.564164648910412,0.642642642642643,0.17120737614535
3,2,0.2,1,0,0.49527826073876,46.75125,14.5070716130346,29.87,66.12,0.0109942627970279,0.475033738191633,0.51006711409396,0.270387980093313,0.244274809160305,0.306122448979592,0.496398511817529,0.458333333333333,0.591954022988506,0.580965947102675,0.559055118110236,0.608308605341246,0.160567267914229
3,2,0.2,1,1,0.51598637491448,66.435,28.6466492680333,39.16,109.5,0.0125810334985051,0.493279569892473,0.536388140161725,0.277291954596877,0.230769230769231,0.311111111111111,0.497725800520684,0.443262411347518,0.56989247311828,0.601302213937301,0.575539568345324,0.6328125,0.165480009871716
3,2,0.2,5000,0,0.502358913850313,36.805,17.2706059121106,8.86000000000001,58.05,0.00989534539533578,0.485135135135135,0.51417004048583,0.259084249543666,0.206185567010309,0.316326530612245,0.490559632252623,0.460526315789474,0.543147208121827,0.596832959496006,0.571072319201995,0.641337386018237,0.172698708718444
3,2,0.2,5000,1,0.500919638734479,59.61625,15.9121264965704,33.96,79.74,0.0120856714817905,0.482479784366577,0.520861372812921,0.254150828164974,0.216,0.289855072463768,0.49164282381497,0.440860215053763,0.507936507936508,0.596039272864709,0.564593301435407,0.631736526946108,0.17520881598406
3,4,0.1,1,0,0.492672407033949,25.01875,32.7433820739834,-13.69,68.1800000000001,0.0199568988378043,0.467654986522911,0.521563342318059,0.231573872967711,0.131578947368421,0.286713286713287,0.477102651457096,0.439024390243902,0.518072289156627,0.588181599383962,0.532258064516129,0.628169014084507,0.182479215382098
3,4,0.1,1,1,0.505803091730925,54.39,15.7509908985344,35.39,83.48,0.011643233354029,0.487870619946092,0.526174496644295,0.261516835999076,0.228571428571429,0.287581699346405,0.491155340839088,0.458333333333333,0.522727272727273,0.597997167801946,0.576227390180879,0.613569321533923,0.171934111694028
3,4,0.1,5000,0,0.50640184398501,65.815,38.639774104634,7.11000000000001,108.72,0.0207683158224412,0.475806451612903,0.528301886792453,0.275388342050017,0.229411764705882,0.316326530612245,0.505975206086766,0.49047619047619,0.532751091703057,0.590312933492564,0.559322033898305,0.628242074927954,0.163023849188563
3,4,0.1,5000,1,0.515822016113853,82.49125,43.6356101096668,1.96000000000004,124.62,0.0192810044661686,0.485175202156334,0.546433378196501,0.267025088586434,0.227272727272727,0.335664335664336,0.492899223676196,0.447488584474886,0.540650406504065,0.602494643928814,0.585241730279898,0.615176151761518,0.171060468648034
3,4,0.2,1,0,0.495015478342603,30.91,36.5373093074541,-45.92,63.99,0.0215867742037926,0.456140350877193,0.518817204301075,0.247167007759496,0.134615384615385,0.313432835820896,0.488168629056701,0.431297709923664,0.536945812807882,0.580615676937075,0.558974358974359,0.597911227154047,0.172151218945232
3,4,0.2,1,1,0.50276911927822,56.64,34.2831791324634,3.36000000000001,96.94,0.0183956433867133,0.467654986522911,0.524899057873486,0.281015300980438,0.23,0.336,0.484221133919996,0.437956204379562,0.559440559440559,0.58701449551446,0.539915966386555,0.631578947368421,0.155721221409725
3,4,0.2,5000,0,0.513975910911816,69.22375,25.1617322464662,22.54,91.94,0.0113932171675199,0.501344086021505,0.53099730458221,0.273735560677073,0.22680412371134,0.310679611650485,0.481898089156819,0.446735395189003,0.504032258064516,0.601620218701487,0.585308056872038,0.625,0.165918341126782
3,4,0.2,5000,1,0.50608029672637,58.89125,41.3022325365107,3.41000000000003,124.44,0.0244665879092502,0.469086021505376,0.537012113055182,0.268738183251535,0.20625,0.35,0.482255911662281,0.432558139534884,0.510204081632653,0.598119451361971,0.568571428571429,0.619469026548673,0.16708590602814
3,6,0.1,1,0,0.487186076582521,17.825,25.6295181382717,-30.16,58.49,0.013787672397395,0.464237516869096,0.512096774193548,0.235733917693533,0.151260504201681,0.271523178807947,0.46808122857577,0.450171821305842,0.49740932642487,0.574282281077489,0.550335570469799,0.605978260869565,0.173146821501597
3,6,0.1,1,1,0.496727296163144,58.25125,24.6578352876206,10.41,91.37,0.0167126592057667,0.466397849462366,0.516172506738544,0.276937750886366,0.242718446601942,0.333333333333333,0.463153451576703,0.398268398268398,0.486725663716814,0.60031245096674,0.562642369020501,0.63030303030303,0.162306333286444
3,6,0.1,5000,0,0.503937527522047,67.935,27.4562660035399,35.3000000000001,117.03,0.0247189240781651,0.466307277628032,0.543624161073825,0.253756303574508,0.192771084337349,0.300884955752212,0.487754648482216,0.430379746835443,0.547511312217195,0.593530723175695,0.564356435643564,0.648351648351648,0.173872778975717
3,6,0.1,5000,1,0.502523741500789,62.045,49.3106783567211,2.15999999999997,130.64,0.0243036915728059,0.468456375838926,0.537735849056604,0.23861454519919,0.1953125,0.272727272727273,0.497631272670555,0.4375,0.535714285714286,0.593616768008604,0.553524804177546,0.633879781420765,0.183634355275591
