"homeTeam";"awayTeam";"homeScore";"awayScore";"matchResult";"matchDate";"season";"home.Possession %";"away.Possession %";"home.Total shots";"away.Total shots";"home.On target";"away.On target";"home.Off target";"away.Off target";"home.Blocked";"away.Blocked";"home.Passing %";"away.Passing %";"home.Attacking 3rd %";"away.Attacking 3rd %";"home.Key Passes";"away.Key Passes";"home.Clear-Cut Chances";"away.Clear-Cut Chances";"home.Crosses %";"away.Crosses %";"home.Dribbles %";"away.Dribbles %";"home.Corners";"away.Corners";"home.Offsides";"away.Offsides";"home.Recoveries";"away.Recoveries";"home.Tackles %";"away.Tackles %";"home.Interceptions";"away.Interceptions";"home.Blocks";"away.Blocks";"home.Clearances";"away.Clearances";"home.Headed Clearances";"away.Headed Clearances";"home.Aerial Duels %";"away.Aerial Duels %";"home.Blocked Crosses";"away.Blocked Crosses";"home.Saves";"away.Saves";"home.Catches %";"away.Catches %";"home.Fouls Committed";"away.Fouls Committed";"home.Fouls Won";"away.Fouls Won";"home.Yellow Cards";"away.Yellow Cards";"home.Red Cards";"away.Red Cards"
"Cagliari";"Chievo";0;1;"L";"2014-05-11";"2013/2014";"60.4";"39.6";"0";"0";"3";"3";"5";"7";"0";"0";"83.5";"73.7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"3";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"19";"18";"11";"2";"2";"0";"0"
"Livorno";"Fiorentina";0;1;"L";"2014-05-11";"2013/2014";"39.8";"60.2";"0";"0";"2";"3";"4";"3";"0";"0";"73.4";"82.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"3";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"17";"17";"25";"6";"3";"1";"0"
"Sampdoria";"Napoli";2;5;"L";"2014-05-11";"2013/2014";"52.5";"47.5";"0";"0";"10";"5";"10";"3";"0";"0";"83.9";"81";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"3";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"12";"12";"11";"1";"0";"0";"0"
"Sassuolo";"Genoa";4;2;"W";"2014-05-11";"2013/2014";"47.7";"52.3";"21";"8";"10";"3";"6";"4";"4";"1";"71.2";"77.8";"64.3";"60.7";"12";"5";"1";"2";"27.8";"16.7";"33.3";"50";"8";"2";"3";"2";"50";"52";"76.5";"70.6";"11";"24";"0";"4";"19";"24";"10";"11";"70";"30";"5";"2";"1";"7";"0";"0";"12";"20";"18";"12";"2";"5";"0";"0"
"Torino";"Parma";1;1;"D";"2014-05-11";"2013/2014";"43.2";"56.8";"0";"0";"1";"4";"8";"9";"0";"0";"81";"84.9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"3";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"14";"14";"8";"2";"2";"1";"1"
"Roma";"Juventus";0;1;"L";"2014-05-11";"2013/2014";"58.3";"41.7";"0";"0";"7";"5";"9";"4";"0";"0";"86.1";"80.4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21";"14";"13";"19";"4";"1";"0";"0"
"Inter Milan";"Lazio";4;1;"W";"2014-05-10";"2013/2014";"55.7";"44.3";"0";"0";"7";"9";"1";"6";"0";"0";"88.8";"86.1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"8";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"15";"15";"13";"1";"1";"0";"0"
"Fiorentina";"Sassuolo";3;4;"L";"2014-05-06";"2013/2014";"72.4";"27.6";"0";"0";"7";"6";"9";"8";"0";"0";"87.9";"69";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"3";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"14";"14";"7";"3";"3";"0";"0"
"Napoli";"Cagliari";3;0;"W";"2014-05-06";"2013/2014";"51";"49";"0";"0";"16";"2";"6";"1";"0";"0";"88.1";"86.8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"8";"7";"12";"3";"3";"0";"1"
"Lazio";"Verona";3;3;"D";"2014-05-05";"2013/2014";"58.7";"41.3";"0";"0";"7";"6";"7";"7";"0";"0";"81.6";"73.7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"7";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"18";"18";"18";"1";"5";"1";"1"
"Juventus";"Atalanta";1;0;"W";"2014-05-05";"2013/2014";"44";"56";"0";"0";"4";"2";"12";"4";"0";"0";"85.7";"85.8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"5";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"11";"11";"17";"0";"1";"0";"0"
"Catania";"Roma";4;1;"W";"2014-05-04";"2013/2014";"39";"61";"0";"0";"7";"4";"5";"7";"0";"0";"81.3";"87.2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"6";"2";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"8";"8";"11";"1";"5";"0";"0"
"Chievo";"Torino";0;1;"L";"2014-05-04";"2013/2014";"39.4";"60.6";"0";"0";"1";"3";"7";"9";"0";"0";"81.9";"89.2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"8";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"9";"8";"9";"4";"1";"1";"0"
