"homeTeam";"awayTeam";"homeScore";"awayScore";"matchResult";"matchDate";"season";"home.Possession %";"away.Possession %";"home.Total shots";"away.Total shots";"home.On target";"away.On target";"home.Off target";"away.Off target";"home.Blocked";"away.Blocked";"home.Passing %";"away.Passing %";"home.Attacking 3rd %";"away.Attacking 3rd %";"home.Key Passes";"away.Key Passes";"home.Clear-Cut Chances";"away.Clear-Cut Chances";"home.Crosses %";"away.Crosses %";"home.Dribbles %";"away.Dribbles %";"home.Corners";"away.Corners";"home.Offsides";"away.Offsides";"home.Recoveries";"away.Recoveries";"home.Tackles %";"away.Tackles %";"home.Interceptions";"away.Interceptions";"home.Blocks";"away.Blocks";"home.Clearances";"away.Clearances";"home.Headed Clearances";"away.Headed Clearances";"home.Aerial Duels %";"away.Aerial Duels %";"home.Blocked Crosses";"away.Blocked Crosses";"home.Saves";"away.Saves";"home.Catches %";"away.Catches %";"home.Fouls Committed";"away.Fouls Committed";"home.Fouls Won";"away.Fouls Won";"home.Yellow Cards";"away.Yellow Cards";"home.Red Cards";"away.Red Cards"
"Groningen";"Heracles Almelo";3;1;"W";"2014-05-03";"2013/2014";"48.1";"51.9";"13";"17";"6";"5";"5";"8";"2";"4";"78.7";"79.1";"67";"67.9";"12";"14";"3";"3";"36.4";"12";"43.8";"42.9";"11";"11";"3";"3";"45";"58";"75";"84.2";"9";"10";"4";"2";"26";"15";"14";"6";"69.6";"30.4";"5";"1";"4";"3";"80";"100";"11";"9";"8";"11";"0";"0";"0";"0"
"PSV Eindhoven";"NAC Breda";2;0;"W";"2014-05-03";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"RKC Waalwijk";"Heerenveen";0;3;"L";"2014-05-03";"2013/2014";"44.7";"55.3";"12";"19";"4";"9";"6";"6";"2";"4";"78";"83.3";"71.1";"65.1";"9";"13";"2";"3";"15.8";"19.2";"70";"64.3";"7";"7";"4";"3";"61";"65";"77.8";"71.4";"19";"14";"4";"2";"30";"39";"16";"23";"31.3";"68.8";"3";"1";"6";"4";"100";"0";"11";"9";"9";"11";"2";"0";"0";"0"
"ADO Den Haag";"AZ Alkmaar";2;1;"W";"2014-04-27";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Feyenoord";"Cambuur Leeuwarden";5;1;"W";"2014-04-27";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Heerenveen";"FC Utrecht";4;1;"W";"2014-04-27";"2013/2014";"55.5";"44.5";"16";"8";"7";"4";"6";"4";"3";"0";"80.5";"75.6";"67.6";"60.2";"12";"7";"4";"1";"12.5";"29.4";"35.7";"57.1";"5";"4";"3";"4";"68";"62";"75";"68.2";"23";"19";"0";"3";"21";"26";"8";"15";"37.5";"62.5";"1";"5";"3";"3";"100";"0";"7";"14";"13";"7";"0";"0";"0";"0"
"Heracles Almelo";"Ajax";1;1;"D";"2014-04-27";"2013/2014";"34";"66";"9";"14";"3";"2";"5";"7";"1";"5";"78.7";"91";"48.4";"74.8";"7";"11";"1";"0";"42.9";"36.4";"20";"60";"5";"6";"1";"0";"51";"54";"100";"85.7";"9";"8";"5";"1";"20";"11";"8";"5";"23.8";"76.2";"3";"0";"1";"2";"66.7";"0";"12";"9";"8";"12";"0";"0";"0";"0"
"NAC Breda";"RKC Waalwijk";1;1;"D";"2014-04-27";"2013/2014";"43.1";"56.9";"11";"17";"3";"4";"6";"5";"2";"8";"76.1";"76.8";"51.9";"62.2";"9";"11";"0";"0";"18.2";"29.4";"57.7";"70";"7";"3";"1";"2";"55";"55";"50";"90.9";"22";"3";"7";"2";"45";"44";"17";"32";"44.4";"55.6";"1";"5";"2";"3";"100";"100";"17";"11";"11";"16";"2";"2";"0";"0"
"NEC Nijmegen";"FC Twente";2;5;"L";"2014-04-27";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"PEC Zwolle";"PSV Eindhoven";1;2;"L";"2014-04-27";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
